vsat;data envio
SES-JEBA-0721;02/01/2012
SES-GONA-0692;05/01/2012
SES-BEAS-0663;18/01/2012
SES-CALO-0853;02/03/2012
SES-COUS-0895;02/03/2012
SES-DERA-0685;17/01/2012
SES-DINO-0687;28/12/2011
SES-FOAS-0689;17/01/2012
SES-FOAS-0690;28/12/2011
SES-FRAR-0691;16/01/2012
SES-GUIA-0693;24/01/2012
SES-IBGA-0695;11/01/2012
SES-IGGA-0696;10/01/2012
SES-INBA-0697;26/01/2012
SES-JAUI-0699;13/01/2012
SES-JOIA-0722;28/12/2011
SES-LADE-0724;12/01/2012
SES-LUIA-0726;24/01/2012
SES-MAAS-0727;27/12/2011
SES-META-0728;20/01/2012
SES-MOCA-0730;05/01/2012
SES-MOOS-0729;16/01/2012
SES-NANO-0733;13/01/2012
SES-OUAS-0735;31/01/2012
SES-PAMA-0737;09/01/2012
SES-PAPO-0738;05/01/2012
SES-PASO-0736;16/01/2012
SES-PERA-0739;26/01/2012
SES-PROS-0913;23/03/2012
SES-SAIA-0743;22/12/2011
SES-SAIA-0745;09/01/2012
SES-SAIA-0747;21/12/2011
SES-SAIA-0748;02/01/2012
SES-SAIA-0749;17/01/2012
SES-SAIA-0750;06/01/2012
SES-SAIA-0752;26/12/2011
SES-SAIA-0753;28/12/2011
SES-SAIA-0754;10/01/2012
SES-SEAS-0651;22/12/2011
