Instalação;"Nº de Incidentes";Incidentes
" SES-LACE-3457 ";" 12 ";" 1080, 2380, 8233, 8659, 8711, 9896, 9949, 10074, 10849, 12007, 12371, 12412 "
" SES-SAIA-3232 ";" 21 ";" 514, 571, 597, 668, 800, 871, 1585, 1631, 1674, 8924, 9041, 9237, 9238, 9255, 10093, 11813, 11948, 12030, 12043, 12372, 12404 "
" SES-SARA-4167 ";" 48 ";" 4260, 5738, 5909, 5951, 5952, 5953, 5954, 6252, 6339, 6357, 6387, 6436, 6488, 6532, 6534, 6535, 6538, 6540, 6544, 6545, 6547, 6549, 6564, 6565, 6567, 6568, 6569, 6570, 6571, 6572, 6573, 6576, 6577, 6772, 7241, 7366, 7619, 8740, 8823, 9013, 9861, 10075, 10203, 10726, 11741, 11760, 11808, 12373 "
" SES-LAAR-3343 ";" 16 ";" 673, 2078, 9548, 9895, 10144, 10165, 10209, 10873, 10945, 11031, 11307, 11435, 11577, 11613, 12316, 12374 "
" SES-PATU-4116 ";" 9 ";" 7519, 7817, 7969, 8624, 9591, 9634, 9824, 11877, 12375 "
" SES-ARRI-4425 ";" 9 ";" 7254, 7263, 7708, 9348, 9601, 10276, 10366, 10855, 12376 "
" SES-ESSA-5953 ";" 9 ";" 10102, 10161, 10702, 11538, 11554, 11719, 12256, 12295, 12377 "
" SES-MIRI-4257 ";" 11 ";" 8018, 8298, 9827, 10368, 10877, 10897, 11796, 12211, 12320, 12368, 12378 "
" SES-IBTE-5178 ";" 16 ";" 6883, 7608, 8225, 8371, 9371, 10253, 10586, 10739, 12186, 12318, 12321, 12360, 12370, 12379, 12395, 12418 "
" SES-ABOS-4410 ";" 17 ";" 5458, 5459, 7304, 8133, 8372, 9362, 9378, 9967, 10132, 10149, 11137, 11206, 12170, 12380, 12394, 12399, 12411 "
"  ";" 2 ";" 2019, 5861 "
" SES-CAHO-4545 ";" 23 ";" 7561, 7695, 8164, 8195, 9585, 9670, 10189, 10580, 10858, 10942, 10967, 11286, 11393, 11660, 11683, 11821, 11853, 11920, 12048, 12171, 12328, 12382, 12445 "
" SES-TRES-5119 ";" 14 ";" 7627, 7771, 8564, 8910, 9911, 10811, 10832, 11091, 12167, 12224, 12309, 12330, 12348, 12383 "
" SES-CADA-0670 ";" 19 ";" 173, 174, 368, 507, 775, 3244, 3247, 9302, 9566, 9660, 9681, 10037, 10166, 10210, 11326, 11527, 11862, 12384, 12437 "
" SES-ITBA-5678 ";" 2 ";" 10026, 12385 "
" SES-CRNI-4094 ";" 25 ";" 6953, 7084, 7092, 7105, 7130, 7232, 7295, 7330, 7346, 7603, 7985, 8180, 8868, 9036, 9253, 9310, 9347, 9783, 10563, 10634, 11886, 12068, 12386, 12400, 12422 "
" SES-CATA-0851 ";" 17 ";" 182, 241, 995, 1692, 12128, 12199, 12281, 12288, 12339, 12349, 12365, 12387, 12421, 12435, 12451, 12462, 12480 "
" SES-SEAS-13871 ";" 10 ";" 12073, 12088, 12113, 12130, 12150, 12162, 12175, 12353, 12363, 12388 "
" SES-INBA-0697 ";" 15 ";" 278, 992, 1534, 8238, 8270, 9164, 12279, 12303, 12314, 12331, 12352, 12364, 12389, 12461, 12479 "
" SES-PATU-4115 ";" 13 ";" 3468, 7557, 7621, 7801, 7869, 8272, 8953, 9595, 12306, 12333, 12355, 12390, 12478 "
" SES-TOJI-5100 ";" 16 ";" 7762, 8004, 8079, 8080, 8948, 8981, 9044, 9146, 9557, 10044, 10559, 10804, 10875, 12323, 12391, 12425 "
" SES-CRIA-0896 ";" 22 ";" 468, 989, 1201, 2461, 5449, 7411, 7455, 8003, 8234, 8308, 8741, 8999, 9431, 9885, 10373, 10551, 10795, 10946, 11534, 11666, 12392, 12431 "
" SES-PAIS-3563 ";" 7 ";" 9056, 9439, 9713, 9717, 11239, 11333, 12393 "
" SES-BURO-3444 ";" 3 ";" 1489, 12080, 12396 "
" SES-DIIS-5501 ";" 10 ";" 8815, 9272, 9625, 9864, 10790, 11040, 11308, 11652, 12027, 12397 "
" SES-JUIA-6067 ";" 22 ";" 10850, 10868, 11752, 11774, 11778, 11787, 11807, 11831, 11836, 11943, 11984, 12086, 12097, 12174, 12250, 12276, 12300, 12326, 12346, 12398, 12420, 12423 "
" SES-ESSA-5952 ";" 43 ";" 7405, 8523, 8570, 8863, 9123, 9155, 9307, 9506, 9912, 9929, 10043, 10118, 10242, 10361, 10408, 10579, 10593, 10676, 10882, 11009, 11121, 11352, 11525, 11570, 11658, 11676, 11794, 11805, 11823, 11856, 11923, 11954, 11982, 12008, 12061, 12070, 12301, 12313, 12350, 12401, 12434, 12449, 12459 "
" SES-MILA-4603 ";" 7 ";" 9445, 9569, 9749, 10792, 11630, 11701, 12402 "
" SES-BAIS-3735 ";" 8 ";" 1303, 1311, 1554, 1897, 1924, 11745, 11938, 12403 "
" SES-DIVA-4550 ";" 10 ";" 8808, 9571, 9763, 10435, 10879, 11418, 11976, 12154, 12180, 12405 "
" SES-DIVA-0860 ";" 15 ";" 1341, 1762, 2009, 2215, 2443, 3197, 7468, 8237, 8245, 9417, 10216, 10223, 11874, 11977, 12406 "
" SES-CAAS-0676 ";" 25 ";" 109, 186, 248, 274, 328, 498, 499, 500, 1587, 1624, 1765, 1771, 2173, 3037, 3414, 3551, 7673, 7724, 7854, 8185, 9459, 9892, 11406, 12135, 12407 "
" SES-SARA-4352 ";" 12 ";" 7089, 7364, 8455, 8872, 9326, 9817, 9853, 11112, 11375, 11967, 12117, 12408 "
" SES-SARA-4356 ";" 5 ";" 7522, 11144, 11151, 11415, 12409 "
" SES-SADO-4238 ";" 32 ";" 3220, 3342, 7117, 7133, 7186, 7200, 7238, 7312, 7500, 7679, 7717, 7863, 8376, 8377, 8378, 8380, 8491, 8538, 9482, 10269, 10432, 10532, 10567, 10648, 10696, 10699, 10892, 10924, 12251, 12268, 12293, 12410 "
" SES-IBTE-5180 ";" 1 ";" 12413 "
" SES-ARRI-4428 ";" 20 ";" 6875, 7740, 7803, 8226, 8347, 8463, 8514, 8626, 9325, 9377, 9904, 10049, 10230, 10275, 10304, 10765, 11329, 12115, 12424, 12470 "
