NOME DA VSAT;BUC;LATITUDE;;;LONGITUDE;;;Antena marca/nœmero de s?rie;CEP;End. do Acesso;;CIDADE;BAIRRO
SES-AGAS-0934;Satlink 4033;16;41;14;44;21;28;skyware;39340000;Rua Nozinho Prates;1011;CORA?€O DE JESUS;Sagrada Fam­lia
SES-AICA-0935;;;;;;;;;;;;;
SES-ANOS-0937;;;;;;;;;;;;;
SES-CARA-0947;;;;;;;;;;;;;
SES-CLIO-0951;;;;;;;;;;;;;
SES-COAS-0952;;;;;;;;;;;;;
SES-COAO-0954;;;;;;;;;;;;;
SES-DIIS-0956;;;;;;;;;;;;;
SES-DOSO-3265;;;;;;;;;;;;;
SES-DOVO-3266;;;;;;;;;;;;;
SES-ESIA-3270;;;;;;;;;;;;;
SES-EUIS-0900;;;;;;;;;;;;;
SES-ITRA-3332;;;;;;;;;;;;;
SES-ITRO-0869;;;;;;;;;;;;;
SES-MATA-0844;;;;;;;;;;;;;
SES-NORA-0840;;;;;;;;;;;;;
SES-SAIA-3244;;;;;;;;;;;;;
SES-SAIA-3236;;;;;;;;;;;;;
SES-SAIA-3231;;;;;;;;;;;;;
SES-SAIA-3252;;;;;;;;;;;;;
SES-SAIA-3242;;;;;;;;;;;;;
SES-SAIA-3233;;;;;;;;;;;;;
SES-SAIA-3246;;;;;;;;;;;;;
SES-SAIA-3243;;;;;;;;;;;;;
SES-SAIA-3240;;;;;;;;;;;;;
SES-SAIA-3237;;;;;;;;;;;;;
SES-SAIA-3238;;;;;;;;;;;;;
SES-SAIA-3247;;;;;;;;;;;;;
SES-SAIA-3248;;;;;;;;;;;;;
SES-SAIA-3249;;;;;;;;;;;;;
SES-SAIA-3255;;;;;;;;;;;;;
SES-SAIA-3254;;;;;;;;;;;;;
SES-SAAS-0782;;;;;;;;;;;;;
SES-SARE-3271;;;;;;;;;;;;;
SES-SARE-3272;;;;;;;;;;;;;
SES-SAOA-0923;;;;;;;;;;;;;
