Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-IBAI-3451;16;51;31;44;54;18;patriot;39350-000;"Rua 8 de dezembro";" 272";;IBIAÍ;"SL 4035";;
SES-SATO-3598;19;17;34;43;10;34;patriot;35815-000;"Rua Bonfim";" 135";;"SÃO SEBASTIÃO DO RIO PRETO";"SL 4033";;
SES-TUIA-3604;21;52;40;45;47;30;patriot;37496-000;"Rua Fernando Teodoro Martins";" 85";;TURVOLÂNDIA;"SL 4033";;
SES-SARA-3589;19;27;19;43;06;47;patriot;"35 910-000";"Avenida José Mariano Pires";" 209";;"SANTA MARIA DE ITABIRA";"SL 4033";;
SES-SADE-0827;21;35;02;45;04;28;skyware;37414-000;"avenida Miguel Nassar";" 112 ";" Centro";"SÃO BENTO ABADE";"SL 4033";;
SES-FRRO-0864;16;59;31;42;21;11;skyware;39644-000;"Rua ROSÁRIO";" 400 ";" ROSÁRIO";"FRANCISCO BADARÓ";"SL 4035";;
SES-BURO-3444;17;22;45;44;58;22;patriot;39280-000;"Rua Goitacazes";" 433";;BURITIZEIRO;"SL 4035";;
SES-PIRA-3458;17;20;32;44;55;29;patriot;39270-000;"Rua Valter Borges";" 398";;PIRAPORA;"SL 4035";;
SES-PIRA-3461;17;20;41;44;57;13;patriot;39270-000;"Av. São Francisco";" 1378";;PIRAPORA;"SL 4035";;
SES-PIRA-3476;17;19;51;44;56;17;patriot;39270-000;"Rua Clovis Peixoto";" 78";;PIRAPORA;"SL 4033";;
SES-POUE-3477;16;37;44;45;03;44;patriot;39328-000;"Rua Du Reizão";" s/n";;"PONTO CHIQUE";"SL 4033";;
SES-VAMA-3479;17;35;55;44;43;40;patriot;39260-000;"Rua Pedro Sampaio";" 1225 ";;"VÁRZEA DA PALMA";"SL 4033";;
SES-PATE-3565;22;12;29;44;14;00;patriot;37330000;"Rua Antônio Quintiliano";" 241";;"PASSA VINTE";"SL 4033";;
