Nome;BUC;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";"NS Antena";CEP;Endereco;Numero;Bairro;Cidade
SES-AGAS-0934;;17;05;16;40;56;19;;;39880-000;"Rua Joaquim Leandro";" 629 ";" São Vicente";"ÁGUAS FORMOSAS"
SES-AICA-0935;;21;59;03;44;36;26;;;37450-000;"Rua Felipe Senador";" 1057 ";" Campo Prático";AIURUOCA
SES-ANOS-0937;;21;19;10;43;44;47;;;36220-000;"Rua Euclides Ribeiro";" 46 ";" Centro";"ANTÔNIO CARLOS"
SES-CARA-0947;;20;10;24;42;16;00;;;36925-000;"Avenida Ferreira Rios";" 0 ";" Centro";CAPUTIRA
SES-CLIO-0951;;20;26;43;44;46;03;;;35530-000;"avenida Araguaia";" 127";;CLÁUDIO
SES-COAS-0952;;21;07;39;44;28;59;;;36360-000;"Rua Maria da Conceição Fonseca";" 130";;"CONCEIÇÃO DA BARRA DE MINAS"
SES-COAO-0954;;22;33;14;45;55;31;;;37670-000;"travessa José de Pinto Nogueira";;;CONSOLAÇÃO
SES-DIIS-0956;;15;43;54;40;59;54;;;39912-000;"Rua Wilson Castro Mares";" 333";;DIVISÓPOLIS
SES-DOSO-3265;;21;15;12;45;09;34;;;37474-000;"Rua Cônego José Divino";" 631";;"DOM VIÇOSO"
SES-DOVO-3266;;20;58;38;43;11;42;;;36513-000;"Rua Francisco Grossi";" 0 ";;"DORES DO TURVO"
SES-ESIA-3270;;19;31;14;45;47;23;;;35613-000;"Rua Joaquim Alves Belo";" 86";;"ESTRELA DO INDAIÁ"
SES-EUIS-0900;;21;05;57;42;10;54;;;36855-000;"avenida Antenor Mazorque";" 400 ";" Centro";EUGENÓPOLIS
SES-ITRA-3332;;20;23;17;44;29;04;;;35514-000;"Rua Antônio Pacheco";" 420 ";" Centro";ITAGUARA
SES-ITRO-0869;;19;25;07;43;19;15;;;35820-000;"Rua OLIVER CANDIDO GOMES";" 100 ";" CENTRO";"ITAMBÉ DO MATO DENTRO"
SES-MATA-0844;;17;50;37;42;04;38;;;39690-000;"praça PIO XXII";" 0 ";" CENTRO";MALACACHETA
SES-NORA-0840;;19;46;02;43;02;27;;;35920-000;"Rua DO OURO";" 539 ";" MANJAHY";"NOVA ERA"
SES-SAIA-3244;;19;47;32;43;54;33;;;33115-090;"Rua Suiça";" 79";;"SANTA LUZIA"
SES-SAIA-3236;;19;47;06;43;55;40;;;33105-460;"Rua Pará de Minas";" 2333";;"SANTA LUZIA"
SES-SAIA-3231;;19;45;08;43;52;58;;;33045-090;"Av. VIII";" Numero 50";;"SANTA LUZIA"
SES-SAIA-3252;;19;45;47;43;51;26;;;33010-360;"Av. Teixeira da Costa Sobrinho";" 741";;"SANTA LUZIA"
SES-SAIA-3246;;19;46;36;43;52;34;;;33030-510;"Av. das Indústrias";" 675";;"SANTA LUZIA"
SES-SAIA-3243;;19;47;46;43;55;19;;;33115-560;"Rua Machado de Assis";" 269";;"SANTA LUZIA"
SES-SAIA-3240;;19;45;39;43;52;53;;;33045-270;"Rua G";" 70";;"SANTA LUZIA"
SES-SAIA-3237;"Satlink 4033";19;46;48;43;51;28;patriot;;33025-280;"Rua Coronel Lima e Silva";" 3";;"SANTA LUZIA"
SES-SAIA-3238;;19;46;50;43;55;35;;;33145-160;"Rua Antônio de Pinho Tavares";" 268";;"SANTA LUZIA"
SES-SAIA-3247;;19;46;26;43;55;28;;;33145-360;"Rua José Cândido Murta";" 260";;"SANTA LUZIA"
SES-SAIA-3248;;19;46;15;43;56;09;;;33140-180;"Rua Estefânia Sales Sotero";" s/n";;"SANTA LUZIA"
SES-SAIA-3249;;19;42;18;43;48;42;;;33055-000;"Rua Manoel Felix Homem";" 524";;"SANTA LUZIA"
SES-SAIA-3255;;19;47;30;43;56;15;;;33125-110;"Av. Nossa Senhora da Conceição";" 70";;"SANTA LUZIA"
SES-SAIA-3254;;19;45;54;43;55;47;;;33140-660;"Rua Maria do Carmo Castro";" 50";;"SANTA LUZIA"
SES-SAAS-0782;;22;01;21;46;20;11;;;37775-000;"Praça 22 DE MAIO";" 0 ";" CENTRO.";"SANTA RITA DE CALDAS"
SES-SARE-3271;;21;04;22;42;08;13;;;36793-000;"Rua João Pinto de Faria";" 1323";;"SÃO SEBASTIÃO DA VARGEM ALEGRE"
SES-SARE-3272;"Satlink 4033";21;04;27;42;38;10;patriot;;36793-000;"Rua Ilca Fonseca Alves Duarte";" 0";;"SÃO SEBASTIÃO DA VARGEM ALEGRE"
SES-SAOA-0923;;18;46;53;42;21;55;;;39728-000;"Rua Pepita Simões de Sardoá";" 53 ";" Centro";SARDOÁ
